Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month,Day
2023-05-31,San Juan,WA,Truck,12,0,12,5930,5942,0.2,2023,5,31
2023-05-31,Polk,OR,Passenger,1,1,2,15,17,11.76,2023,5,31
2023-05-31,Fairfax,VA,Truck,1,0,1,88,89,1.12,2023,5,31
2023-05-31,DuPage,IL,Passenger,2,1,3,32,35,8.57,2023,5,31
2023-05-31,Santa Cruz,CA,Passenger,1,0,1,21,22,4.55,2023,5,31
2023-05-31,Skamania,WA,Passenger,103,58,161,8067,8228,1.96,2023,5,31
2023-05-31,Snohomish,WA,Passenger,12186,2990,15176,528306,543482,2.79,2023,5,31
2023-05-31,Kootenai,ID,Truck,1,0,1,27,28,3.57,2023,5,31
2023-05-31,St. Mary's,MD,Passenger,1,0,1,172,173,0.58,2023,5,31
2023-05-31,St. Lawrence,NY,Passenger,1,0,1,1,2,50.0,2023,5,31
2023-05-31,Escambia,FL,Passenger,0,1,1,136,137,0.73,2023,5,31
2023-05-31,Wichita,TX,Passenger,2,0,2,32,34,5.88,2023,5,31
2023-05-31,Yolo,CA,Passenger,1,0,1,22,23,4.35,2023,5,31
2023-05-31,Palm Beach,FL,Passenger,1,1,2,47,49,4.08,2023,5,31
2023-05-31,Orange,FL,Passenger,1,0,1,67,68,1.47,2023,5,31
2023-05-31,Randolph,NC,Passenger,1,0,1,3,4,25.0,2023,5,31
2023-05-31,Adams,CO,Passenger,1,0,1,22,23,4.35,2023,5,31
2023-05-31,Middlesex,MA,Passenger,2,1,3,73,76,3.95,2023,5,31
2023-05-31,Denton,TX,Passenger,2,0,2,48,50,4.0,2023,5,31
2023-05-31,Richmond,NY,Passenger,1,0,1,4,5,20.0,2023,5,31
2023-05-31,Marin,CA,Passenger,1,1,2,30,32,6.25,2023,5,31
2023-05-31,Yakima,WA,Truck,12,0,12,61147,61159,0.02,2023,5,31
2023-05-31,Sonoma,CA,Passenger,3,1,4,70,74,5.41,2023,5,31
2023-05-31,Essex,NJ,Passenger,2,0,2,8,10,20.0,2023,5,31
2023-05-31,Virginia Beach,VA,Truck,1,0,1,107,108,0.93,2023,5,31
2023-05-31,Hawaii,HI,Passenger,1,0,1,30,31,3.23,2023,5,31
